image_path,plate_text,issue_type,plate_type,split,note
input-not-detect/1733339988000.jpeg,98C-317.42,no_detect,normal_car,train,
input-not-detect/1741156140965-581803062.jpeg,29H-069.34,no_detect,normal_car,train,
input-not-detect/f-1739863197606-266832893.jpg,89C-302.55,no_detect,normal_car,train,
input-not-detect/f-1739903745303-692372150.jpg,29K-021.01,no_detect,normal_car,train,
input-not-detect/f-1740063274172-297480621.jpeg,37K-406.53,no_detect,normal_car,train,
input-not-detect/f-1740209745170-297087094.jpeg,29K-124.22,no_detect,normal_car,train,
input-not-detect/f-1740385301183-172317371.jpg,37C-527.34,no_detect,normal_car,train,
input-not-detect/f-1740705702188-805559912.jpg,37C-496.59,no_detect,normal_car,train,
input-not-detect/f-1740734757237-914704593.jpg,35H-020.56,no_detect,normal_car,train,
input-not-detect/f-1740845604839-524143593.jpg,29K-040.65,no_detect,normal_car,train,
input-not-detect/f-1740884199672-741783416.jpeg,37C-153.10,no_detect,normal_car,train,
input-not-detect/f-1740968846021-264469581.jpg,89H-014.39,no_detect,normal_car,train,
input-not-detect/f-1740986486316-899612676.jpg,37H-059.99,no_detect,normal_car,train,
input-not-detect/f-1740993916090-945917135.jpg,37C-365.09,no_detect,normal_car,train,
input-not-detect/f-1740996695077-806056827.jpg,89H-014.39,no_detect,normal_car,train,
input-not-detect/f-1741068939064-23764496.jpg,37C-139.91,no_detect,normal_car,train,
input-not-detect/f-1741074325052-572435078.jpg,37C-004.32,no_detect,normal_car,train,
input-not-detect/f-1741158758679-556882673.jpg,89F-001.78,no_detect,normal_car,train,
input-not-detect/f-1741162249381-405127338.jpg,89H-017.60,no_detect,normal_car,train,
input-not-detect/f-1741215672578-647823656.jpg,20C-062.87,no_detect,normal_car,train,
input-not-detect/f-1741247276695-453068244.jpg,98C-033.04,no_detect,normal_car,train,
input-not-detect/f-1741250819490-715158215.jpg,98H-033.26,no_detect,normal_car,train,
input-not-detect/f-1741331698543-599831788.jpg,99C-219.78,no_detect,normal_car,train,
input-not-detect/f-1741340884259-47788173.jpg,29H-302.99,no_detect,normal_car,train,
input-not-detect/f-1741398662631-988027916.jpg,99H-001.06,no_detect,normal_car,train,
input-not-detect/f-1741416820625-455948715.jpg,15H-079.23,no_detect,normal_car,train,
input-not-detect/f-1741416970523-891544689.jpg,37C-502.87,no_detect,normal_car,train,
input-not-detect/f-1741468749545-419186751.jpeg,20C-183.27,no_detect,normal_car,train,
input-not-detect/f-1741540413207-180625060.jpeg,37CD-001.43,no_detect,special_cd,train,
input-not-detect/f-1741553224204-159657911.jpg,29K-020.97,no_detect,normal_car,train,
input-not-detect/f-1741678511019-396444121.jpg,37H-032.15,no_detect,normal_car,train,
input-not-detect/f-1741989528458-695868787.jpg,29K-020.97,no_detect,normal_car,train,
input-not-detect/f-1742086036496-151565381.jpg,37CD-000.34,no_detect,special_cd,train,
input-not-detect/f-1742146855428-760973704.jpeg,34C-148.01,no_detect,normal_car,train,
input-not-detect/f-1742424682308-802006012.jpg,20C-040.80,no_detect,normal_car,train,
input-not-detect/f-1742626442644-660987793.jpeg,37CD-001.43,no_detect,special_cd,train,
input-not-detect/f-1742699505977-231855686.jpg,20C-183.27,no_detect,normal_car,train,
input-not-detect/f-1742754422525-644389192.jpg,98C-294.48,no_detect,normal_car,train,
input-not-detect/test.jpg,51A-175.56,no_detect,normal_car,train,
input-not-detect/test1.jpg,29K-043.35,no_detect,normal_car,train,
